Date,Open,High,Low,Close,Adj Close,Volume
19/02/2013,265.910004,270.109985,264.5,269.75,269.75,2854200
20/02/2013,270.200012,274.299988,266.369995,266.410004,266.410004,3528900
21/02/2013,265.119995,269.480011,263.25,265.940002,265.940002,3637400
22/02/2013,266.619995,267.109985,261.609985,265.420013,265.420013,3124800
25/02/2013,266.940002,268.690002,259.649994,259.869995,259.869995,3032400
26/02/2013,260.890015,262.040009,255.729996,259.359985,259.359985,3348600
27/02/2013,259.399994,265.829987,256.859985,263.25,263.25,2908100
28/02/2013,261.809998,267,260.630005,264.269989,264.269989,2667200
01/03/2013,263.269989,266.600006,261.040009,265.73999,265.73999,2957000
04/03/2013,265.359985,273.299988,264.140015,273.109985,273.109985,3453000
05/03/2013,274,276.679993,269.98999,275.589996,275.589996,3686200
06/03/2013,275.76001,276.48999,271.829987,273.790009,273.790009,2050700
07/03/2013,274.100006,274.799988,271.850006,273.880005,273.880005,1939000
08/03/2013,275,275.440002,271.5,274.190002,274.190002,1879800
11/03/2013,273.429993,273.98999,270.399994,271.23999,271.23999,1904900
12/03/2013,271,277.399994,270.359985,274.130005,274.130005,3246200
13/03/2013,275.23999,276.5,272.640015,275.100006,275.100006,1884200
14/03/2013,269.670013,270,263.529999,265.73999,265.73999,5226700
15/03/2013,264.980011,267.26001,260.049988,261.820007,261.820007,4865900
18/03/2013,259.299988,261.48999,257.119995,257.890015,257.890015,2720200
19/03/2013,258.399994,259.5,252.619995,256.410004,256.410004,3738500
20/03/2013,258.049988,259.76001,254.550003,257.279999,257.279999,2738900
21/03/2013,256.109985,257,252.679993,253.389999,253.389999,2806400
22/03/2013,254.550003,257.769989,252.070007,257.75,257.75,3124600
25/03/2013,258.579987,259.429993,254.5,256.019989,256.019989,2513900
26/03/2013,257.049988,261.480011,256.279999,260.309998,260.309998,2421000
27/03/2013,258.75,265.929993,257.899994,265.299988,265.299988,2874900
28/03/2013,265.820007,267.380005,264.059998,266.48999,266.48999,2473700
01/04/2013,266.980011,267.399994,261.01001,261.609985,261.609985,2524800
02/04/2013,262.399994,265.890015,260.549988,263.320007,263.320007,2631100
03/04/2013,262.119995,263.670013,257.75,259.029999,259.029999,2413800
04/04/2013,259.230011,260.410004,256.119995,259.079987,259.079987,1964400
05/04/2013,255.720001,256.179993,253.669998,255.479996,255.479996,2557400
08/04/2013,255.919998,259.679993,255.630005,258.950012,258.950012,2295600
09/04/2013,258.850006,262.609985,257,261.140015,261.140015,2156600
10/04/2013,261.779999,265.980011,259.320007,264.769989,264.769989,2322500
11/04/2013,264.73999,270.970001,264.73999,269.850006,269.850006,3090500
12/04/2013,270.119995,273.269989,267.019989,272.869995,272.869995,2866300
15/04/2013,271.079987,275.119995,267.100006,267.720001,267.720001,3326000
16/04/2013,269.309998,272.799988,268.059998,272.339996,272.339996,2137200
17/04/2013,270.799988,270.850006,264.25,267.399994,267.399994,3135100
18/04/2013,266.809998,266.98999,256.600006,259.420013,259.420013,3137600
19/04/2013,258.160004,262.880005,257.5,260.320007,260.320007,2602500
22/04/2013,259.350006,264.600006,258.029999,263.549988,263.549988,2119100
23/04/2013,264.5,269.869995,264.5,268.899994,268.899994,2270600
24/04/2013,269.5,271.470001,266.809998,268.779999,268.779999,1852800
25/04/2013,271.529999,275.799988,270.5,274.700012,274.700012,6116500
26/04/2013,269.970001,272.019989,252.809998,254.809998,254.809998,14030000
29/04/2013,254.899994,257.01001,249.149994,249.740005,249.740005,7117000
30/04/2013,249.369995,254.679993,248.559998,253.809998,253.809998,4248800
01/05/2013,253.899994,254.199997,245.75,248.229996,248.229996,4391400
02/05/2013,248.940002,252.929993,245.779999,252.550003,252.550003,3936200
03/05/2013,256.140015,259.25,254.699997,258.049988,258.049988,3514000
06/05/2013,258.089996,259.5,253.419998,255.720001,255.720001,2347800
07/05/2013,256.309998,259.73999,252.910004,257.730011,257.730011,3133700
08/05/2013,256.869995,260.299988,255.330002,258.679993,258.679993,2677000
09/05/2013,258.730011,263.549988,256.880005,260.160004,260.160004,2769300
10/05/2013,260.880005,263.649994,260.209991,263.630005,263.630005,3145300
13/05/2013,262.769989,265.880005,262,264.51001,264.51001,2149500
14/05/2013,264.5,269.399994,264.029999,268.329987,268.329987,2700000
15/05/2013,267.070007,269.049988,264.559998,266.559998,266.559998,2720500
16/05/2013,265.959991,268.429993,263.850006,264.119995,264.119995,1643500
17/05/2013,265.829987,269.980011,265,269.899994,269.899994,2527300
20/05/2013,269,271.790009,266.5,267.630005,267.630005,2209000
21/05/2013,268.73999,270.769989,267.660004,268.859985,268.859985,1741200
22/05/2013,267.390015,267.589996,260.799988,262.959991,262.959991,3332000
23/05/2013,260.48999,263.170013,259.589996,261.799988,261.799988,2000300
24/05/2013,259.850006,261.929993,258.339996,261.73999,261.73999,1696300
28/05/2013,266.480011,271.100006,266,267.290009,267.290009,3471000
29/05/2013,265.459991,268.25,264.839996,265.529999,265.529999,1903400
30/05/2013,265.709991,268.570007,265.609985,266.829987,266.829987,1667500
31/05/2013,266,271.910004,265.940002,269.200012,269.200012,3374300
03/06/2013,268.959991,269.109985,262.950012,266.880005,266.880005,2543900
04/06/2013,267,268.880005,263.019989,265.700012,265.700012,2088600
05/06/2013,265.809998,271.660004,265.019989,267.170013,267.170013,3512300
06/06/2013,267.75,270.5,264.209991,267.829987,267.829987,2476300
07/06/2013,269.73999,280.100006,269.130005,276.869995,276.869995,4632600
10/06/2013,276.679993,282.470001,275.23999,281.070007,281.070007,3086500
11/06/2013,276,278.410004,274.23999,274.779999,274.779999,3097800
12/06/2013,276.600006,276.799988,270.450012,271.670013,271.670013,2238900
13/06/2013,271.5,276.799988,270.290009,275.790009,275.790009,2649800
14/06/2013,275,277.070007,273.440002,273.98999,273.98999,2150800
17/06/2013,276.350006,280.200012,275.649994,278.059998,278.059998,2884000
18/06/2013,279.079987,282.910004,278.109985,281.76001,281.76001,2146100
19/06/2013,281.26001,283.339996,277.869995,278.160004,278.160004,2827500
20/06/2013,275.140015,278.600006,272.390015,273.440002,273.440002,2984000
21/06/2013,274.570007,275.839996,269.790009,273.359985,273.359985,4201000
24/06/2013,271.290009,273.160004,265,270.609985,270.609985,3863800
25/06/2013,272.299988,273.470001,269,272.089996,272.089996,2449600
26/06/2013,273.980011,277.980011,273.5,277.570007,277.570007,3029500
27/06/2013,279.179993,280.200012,274.540009,277.549988,277.549988,2519500
28/06/2013,276.190002,279.829987,276.190002,277.690002,277.690002,3193300
01/07/2013,279,283.290009,277.160004,282.100006,282.100006,2888200
02/07/2013,281.040009,286.579987,280.589996,283.730011,283.730011,3238200
03/07/2013,282,285.399994,282,284.029999,284.029999,1373000
05/07/2013,285,286.380005,282.070007,285.880005,285.880005,1985400
08/07/2013,286.420013,291.670013,286.140015,290.589996,290.589996,3046700
09/07/2013,291,292.570007,288.01001,291.529999,291.529999,2775600
10/07/2013,291.410004,293.339996,289.399994,292.329987,292.329987,1810200
11/07/2013,294.98999,300.690002,292.100006,299.660004,299.660004,4007300
12/07/2013,298.690002,307.549988,298.5,307.549988,307.549988,4539300
15/07/2013,307.269989,307.98999,304.350006,306.570007,306.570007,2245600
16/07/2013,307.299988,309.390015,305.51001,306.869995,306.869995,2660200
17/07/2013,306.970001,308.799988,305.690002,308.690002,308.690002,2029700
18/07/2013,306.269989,306.339996,301.869995,304.109985,304.109985,3063800
19/07/2013,304.390015,305.790009,301.910004,305.230011,305.230011,2973100
22/07/2013,309.25,309.25,302,303.480011,303.480011,2520700
23/07/2013,303.160004,305.059998,300.559998,301.059998,301.059998,1999600
24/07/2013,303.019989,303.839996,298.040009,298.940002,298.940002,2000500
25/07/2013,299,304.5,296.75,303.399994,303.399994,5405800
26/07/2013,299.549988,313.619995,295.549988,312.01001,312.01001,8817500
29/07/2013,311.070007,313,305.899994,306.100006,306.100006,3211800
30/07/2013,307.720001,309.779999,301.570007,302.410004,302.410004,3053400
31/07/2013,303.910004,305.149994,301,301.220001,301.220001,1891300
01/08/2013,303.079987,306.209991,298.899994,305.570007,305.570007,2971700
02/08/2013,304.630005,305.329987,301.5,304.209991,304.209991,2502600
05/08/2013,303.399994,303.619995,298.299988,300.98999,300.98999,2233200
06/08/2013,300.51001,301.359985,297.519989,300.75,300.75,1849000
07/08/2013,300.149994,300.98999,296.149994,296.910004,296.910004,1961000
08/08/2013,298.519989,298.519989,292.549988,295.73999,295.73999,2343400
09/08/2013,295.679993,299.269989,294.299988,297.26001,297.26001,1950300
12/08/2013,295.790009,299.079987,295.26001,296.690002,296.690002,1504500
13/08/2013,295.880005,296.369995,290.670013,293.970001,293.970001,2349900
14/08/2013,294.290009,294.290009,290.540009,291.339996,291.339996,1415000
15/08/2013,288.790009,289.299988,285.149994,286.470001,286.470001,2261400
