1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
6.55,6.54,6.54,6.53,6.53,6.53,6.52,6.52,6.51,6.51,6.5,6.5,6.49,6.48,6.48,6.47,6.47,6.46,6.45,6.45,6.44,6.43,6.43,6.42,6.41,6.41,6.4,6.39,6.38,6.38,6.37,6.36,6.35,6.35,6.34,6.33,6.32,6.31,6.3,6.29,6.28,6.26,6.25,6.23,6.21,6.19,6.17,6.15,6.13,6.11,6.09,6.07,6.04,6.02,5.99,5.97,5.95,5.92,5.89,5.87,5.86,5.82,5.8,5.78,5.77,5.73,5.72,5.7,5.69,5.67,5.65,5.62,5.61,5.6,5.58,5.55,5.53,5.51,5.49,5.48,5.46,5.46,5.42,5.39,5.35,5.28,5.27,5.24,5.22,5.2,5.16,5.12,5.1,5.08,5.07,5.04,4.98,4.93,4.89,4.86,4.84,4.82,4.8,4.8,4.77,4.75,4.73,4.7,4.67,4.64,4.64,4.61,4.59,4.52,4.57,4.53,4.49,4.4,4.4,4.28,4.39,4.43,4.31,4.3,4.3,4.24,4.19,4.14,4.05,3.97,3.97,3.9,3.85,3.68,3.71,3.69,3.67,3.68,3.72,3.71,3.76,3.84,3.98,4.05,4.01,4.01,4.26,4.45,4.4,4.44,4.47,4.57,4.62,4.67,4.74,4.77,4.84,4.89,4.88,4.9,4.9,4.88,4.81,4.74,4.66,4.5,4.37,4.26,4.17,4.11,4.07,3.94,3.78,3.67,3.6,3.52,3.45,3.41,3.34,3.3,3.25,3.18,3.13,3.06,3,2.96,2.9,2.86,2.82,2.8,2.77,2.72,2.68,2.63,2.58,2.54,2.51,2.48,2.45,2.42,2.4,2.36,2.32,2.3,2.27,2.24,2.23,2.21,2.17,2.13,2.09,2.07,2.05,2.06,2.04,2.02,2,1.99,1.97,1.96,1.94,1.93,1.92,1.91,1.9,1.89,1.89,1.88,1.87,1.86,1.86,1.85,1.85,1.84,1.84,1.83,1.83,1.83,1.82,1.82,1.82,1.81,1.81,1.81,1.81,1.81,1.81,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
5.65,5.62,5.65,5.66,5.65,5.64,5.62,5.61,5.59,5.56,5.57,5.58,5.57,5.56,5.56,5.6,5.58,5.57,5.57,5.57,5.55,5.58,5.57,5.55,5.52,5.57,5.53,5.49,5.49,5.45,5.43,5.42,5.41,5.46,5.47,5.43,5.44,5.44,5.42,5.44,5.45,5.44,5.45,5.44,5.44,5.41,5.42,5.38,5.38,5.42,5.43,5.4,5.35,5.31,5.27,5.19,5.25,5.26,5.29,5.35,5.33,5.35,5.38,5.37,5.39,5.37,5.35,5.33,5.26,5.33,5.34,5.33,5.35,5.43,5.44,5.45,5.43,5.36,5.27,5.35,5.28,5.28,5.34,5.33,5.32,5.3,5.23,5.24,5.28,5.25,5.16,5.31,5.11,5.23,5.22,5.24,5.24,5.22,5.13,5.15,5.12,5.08,5.08,5,4.98,4.84,4.88,4.84,4.86,4.76,4.71,4.66,4.59,4.53,4.43,3.64,3.8,3.64,3.68,3.4,4.22,3.85,4.03,4.11,4.06,4.03,3.96,3.85,3.82,3.7,3.63,3.5,3.36,3.1,3.05,3.13,3.17,3.21,3.21,3.19,3.08,3.05,2.73,2.59,2.58,2.55,2.95,2.99,2.92,2.98,2.85,2.84,2.85,2.82,2.86,2.84,2.83,2.83,2.82,2.8,2.79,2.77,2.74,2.73,2.69,2.66,2.64,2.59,2.54,2.51,2.47,2.43,2.38,2.32,2.29,2.24,2.2,2.16,2.12,2.09,2.06,2.04,2.03,2.03,2.01,1.99,1.99,1.98,1.94,1.89,1.84,1.77,1.71,1.64,1.62,1.58,1.55,1.52,1.51,1.48,1.48,1.48,1.5,1.51,1.52,1.53,1.54,1.57,1.6,1.62,1.63,1.63,1.64,1.65,1.66,1.67,1.67,1.67,1.68,1.68,1.68,1.69,1.69,1.7,1.7,1.7,1.71,1.71,1.71,1.72,1.72,1.72,1.73,1.73,1.73,1.74,1.74,1.74,1.74,1.75,1.75,1.75,1.75,1.76,1.76,1.76,1.76,1.77,1.77,1.77,1.77,1.77,1.78,1.78,1.78,1.78,1.78,1.78,1.79,1.79,1.79,1.79,1.79,1.79,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.51,6.51,6.5,6.5,6.5,6.5,6.5,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.51,6.52,6.53,6.54,6.55,6.56,6.55,6.54,6.54,6.53,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.53,6.53,6.54,6.54,6.56,6.56,6.56,6.59,6.61,6.62,6.62,6.62,6.63,6.64,6.66,6.67,6.69,6.7,6.72,6.73,6.74,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.74,6.74,6.73,6.72,6.7,6.68,6.66,6.64,6.61,6.58,6.54,6.5,6.45,6.39,6.33,6.26,6.18,6.1,6.02,5.93,5.84,5.76,5.68,5.61,5.54,5.48,5.42,5.37,5.32,5.27,5.22,5.18,5.14,5.1,5.06,5.02,4.98,4.95,4.91,4.87,4.82,4.77,4.72,4.66,4.59,4.53,4.47,4.4,4.34,4.28,4.23,4.17,4.12,4.06,4.01,3.96,3.9,3.85,3.8,3.76,3.71,3.66,3.62,3.57,3.53,3.49,3.44,3.4,3.36,3.32,3.28,3.25,3.21,3.17,3.14,3.1,3.07,3.04,3.01,2.97,2.94,2.91,2.88,2.86,2.83,2.8,2.78,2.75,2.73,2.7,2.68,2.66,2.63,2.61,2.59,2.57,2.55,2.53,2.51,2.49,2.48,2.46,2.44,2.42,2.41,2.39,2.37,2.36,2.34,2.33,2.31,2.3,2.29,2.27,2.26,2.25,2.23,2.22,2.21,2.2,2.19,2.17,2.16,2.15,2.14,2.13,2.12,2.11,2.11
5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.72,5.72,5.72,5.72,5.72,5.72,5.73,5.73,5.73,5.73,5.73,5.74,5.74,5.74,5.74,5.74,5.74,5.75,5.74,5.74,5.73,5.72,5.72,5.71,5.71,5.7,5.69,5.69,5.69,5.7,5.7,5.7,5.69,5.69,5.69,5.69,5.68,5.69,5.67,5.67,5.66,5.67,5.68,5.68,5.66,5.65,5.67,5.66,5.67,5.66,5.67,5.68,5.68,5.68,5.68,5.69,5.69,5.68,5.65,5.64,5.64,5.68,5.69,5.68,5.68,5.69,5.67,5.67,5.67,5.65,5.65,5.65,5.64,5.62,5.66,5.67,5.67,5.68,5.67,5.68,5.68,5.67,5.68,5.67,5.67,5.65,5.64,5.63,5.61,5.61,5.59,5.59,5.54,5.53,5.54,5.51,5.46,5.42,5.36,5.27,5.38,5.53,5.4,5.63,5.48,5.47,5.77,5.65,5.77,5.79,5.64,5.88,5.6,5.11,5.01,4.73,5.78,6.34,5.83,5.77,5.83,5.44,5.86,5.56,5.56,5.39,5.16,4.95,4.77,4.49,4.32,4.12,4.03,4.01,3.79,3.88,3.81,3.77,3.74,3.71,3.66,3.59,3.52,3.42,3.31,3.2,3.08,2.98,2.88,2.79,2.72,2.66,2.61,2.57,2.53,2.5,2.47,2.44,2.42,2.39,2.36,2.34,2.31,2.28,2.26,2.23,2.21,2.19,2.17,2.15,2.14,2.13,2.11,2.1,2.09,2.08,2.07,2.05,2.04,2.03,2.02,2.01,2,1.99,1.99,1.98,1.97,1.96,1.95,1.95,1.94,1.93,1.93,1.92,1.92,1.91,1.9,1.9,1.89,1.89,1.88,1.88,1.88,1.87,1.87,1.86,1.86,1.86,1.85,1.85,1.85,1.84,1.84,1.84,1.84,1.83,1.83,1.83,1.83,1.83,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81
